"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,3728,12,3808,2022-05-25
"20 - 24",4,1047,3,1054,2022-05-25
"25 - 29",13,1794,3,1810,2022-05-25
"30 - 34",11,2493,15,2519,2022-05-25
"35 - 39",13,2545,16,2574,2022-05-25
"40 - 44",12,2808,22,2842,2022-05-25
"45 - 49",17,4079,41,4137,2022-05-25
"50 - 54",40,6270,112,6422,2022-05-25
"55 - 59",38,7636,198,7872,2022-05-25
"60 - 64",52,8136,381,8569,2022-05-25
"65 - 69",73,8346,761,9180,2022-05-25
"70 - 74",86,9988,1539,11613,2022-05-25
"75 - 79",123,9764,2595,12482,2022-05-25
"80 - 84",96,8224,3001,11321,2022-05-25
"85 - 89",79,5448,2288,7815,2022-05-25
">90",40,2532,1050,3622,2022-05-25
