"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4408,17,4487,2022-11-07
"20 - 24",9,1167,4,1180,2022-11-07
"25 - 29",16,1980,3,1999,2022-11-07
"30 - 34",19,2698,16,2733,2022-11-07
"35 - 39",18,2752,17,2787,2022-11-07
"40 - 44",19,3011,24,3054,2022-11-07
"45 - 49",17,4309,46,4372,2022-11-07
"50 - 54",45,6649,123,6817,2022-11-07
"55 - 59",50,8210,218,8478,2022-11-07
"60 - 64",70,8927,412,9409,2022-11-07
"65 - 69",102,9492,824,10418,2022-11-07
"70 - 74",135,11482,1645,13262,2022-11-07
"75 - 79",205,11707,2778,14690,2022-11-07
"80 - 84",167,10071,3202,13440,2022-11-07
"85 - 89",131,6879,2473,9483,2022-11-07
">90",63,3309,1179,4551,2022-11-07
