"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",73,4538,16,4627,2022-12-16
"20 - 24",5,1185,4,1194,2022-12-16
"25 - 29",14,2013,3,2030,2022-12-16
"30 - 34",13,2734,16,2763,2022-12-16
"35 - 39",15,2782,18,2815,2022-12-16
"40 - 44",19,3050,24,3093,2022-12-16
"45 - 49",23,4349,47,4419,2022-12-16
"50 - 54",33,6723,124,6880,2022-12-16
"55 - 59",55,8314,220,8589,2022-12-16
"60 - 64",53,9089,423,9565,2022-12-16
"65 - 69",99,9695,837,10631,2022-12-16
"70 - 74",94,11772,1672,13538,2022-12-16
"75 - 79",145,12103,2817,15065,2022-12-16
"80 - 84",124,10456,3241,13821,2022-12-16
"85 - 89",111,7148,2511,9770,2022-12-16
">90",54,3461,1197,4712,2022-12-16
