"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",78,3429,12,3519,2022-03-29
"20 - 24",9,1010,3,1022,2022-03-29
"25 - 29",22,1709,3,1734,2022-03-29
"30 - 34",29,2379,15,2423,2022-03-29
"35 - 39",25,2470,13,2508,2022-03-29
"40 - 44",33,2721,21,2775,2022-03-29
"45 - 49",43,3982,40,4065,2022-03-29
"50 - 54",63,6074,107,6244,2022-03-29
"55 - 59",95,7372,181,7648,2022-03-29
"60 - 64",142,7735,356,8233,2022-03-29
"65 - 69",188,7817,725,8730,2022-03-29
"70 - 74",225,9287,1486,10998,2022-03-29
"75 - 79",282,9006,2495,11783,2022-03-29
"80 - 84",286,7473,2918,10677,2022-03-29
"85 - 89",227,4865,2210,7302,2022-03-29
">90",135,2194,982,3311,2022-03-29
