"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,2378,13,2467,2022-01-30
"20 - 24",25,771,3,799,2022-01-30
"25 - 29",35,1313,3,1351,2022-01-30
"30 - 34",38,1861,13,1912,2022-01-30
"35 - 39",40,2042,12,2094,2022-01-30
"40 - 44",26,2398,18,2442,2022-01-30
"45 - 49",23,3665,32,3720,2022-01-30
"50 - 54",62,5563,94,5719,2022-01-30
"55 - 59",74,6719,165,6958,2022-01-30
"60 - 64",77,6963,324,7364,2022-01-30
"65 - 69",85,6900,669,7654,2022-01-30
"70 - 74",107,8155,1375,9637,2022-01-30
"75 - 79",147,7886,2322,10355,2022-01-30
"80 - 84",114,6342,2712,9168,2022-01-30
"85 - 89",88,4020,2021,6129,2022-01-30
">90",39,1800,875,2714,2022-01-30
