"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",79,3606,12,3697,2022-04-16
"20 - 24",5,1031,3,1039,2022-04-16
"25 - 29",19,1756,3,1778,2022-04-16
"30 - 34",17,2448,15,2480,2022-04-16
"35 - 39",22,2514,14,2550,2022-04-16
"40 - 44",24,2774,22,2820,2022-04-16
"45 - 49",25,4042,41,4108,2022-04-16
"50 - 54",56,6172,109,6337,2022-04-16
"55 - 59",72,7509,192,7773,2022-04-16
"60 - 64",111,7953,367,8431,2022-04-16
"65 - 69",139,8104,742,8985,2022-04-16
"70 - 74",192,9651,1518,11361,2022-04-16
"75 - 79",221,9419,2545,12185,2022-04-16
"80 - 84",208,7883,2958,11049,2022-04-16
"85 - 89",161,5167,2242,7570,2022-04-16
">90",83,2380,1015,3478,2022-04-16
