"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",99,3888,14,4001,2022-07-13
"20 - 24",13,1079,3,1095,2022-07-13
"25 - 29",17,1843,3,1863,2022-07-13
"30 - 34",23,2539,15,2577,2022-07-13
"35 - 39",11,2598,16,2625,2022-07-13
"40 - 44",18,2861,22,2901,2022-07-13
"45 - 49",30,4136,44,4210,2022-07-13
"50 - 54",38,6365,113,6516,2022-07-13
"55 - 59",65,7771,200,8036,2022-07-13
"60 - 64",92,8304,392,8788,2022-07-13
"65 - 69",103,8625,769,9497,2022-07-13
"70 - 74",150,10293,1557,12000,2022-07-13
"75 - 79",192,10156,2627,12975,2022-07-13
"80 - 84",174,8570,3041,11785,2022-07-13
"85 - 89",153,5739,2318,8210,2022-07-13
">90",79,2693,1079,3851,2022-07-13
