"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4736,19,4817,2023-02-10
"20 - 24",3,1203,4,1210,2023-02-10
"25 - 29",10,2058,3,2071,2023-02-10
"30 - 34",17,2796,17,2830,2023-02-10
"35 - 39",14,2842,18,2874,2023-02-10
"40 - 44",16,3110,24,3150,2023-02-10
"45 - 49",11,4431,49,4491,2023-02-10
"50 - 54",26,6858,129,7013,2023-02-10
"55 - 59",42,8495,234,8771,2023-02-10
"60 - 64",50,9373,433,9856,2023-02-10
"65 - 69",88,10108,865,11061,2023-02-10
"70 - 74",90,12290,1716,14096,2023-02-10
"75 - 79",129,12793,2897,15819,2023-02-10
"80 - 84",121,11148,3311,14580,2023-02-10
"85 - 89",101,7713,2592,10406,2023-02-10
">90",52,3754,1251,5057,2023-02-10
