"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4885,18,4968,2023-03-13
"20 - 24",7,1219,4,1230,2023-03-13
"25 - 29",12,2080,3,2095,2023-03-13
"30 - 34",17,2829,17,2863,2023-03-13
"35 - 39",16,2876,19,2911,2023-03-13
"40 - 44",21,3148,25,3194,2023-03-13
"45 - 49",22,4474,49,4545,2023-03-13
"50 - 54",46,6931,128,7105,2023-03-13
"55 - 59",64,8600,241,8905,2023-03-13
"60 - 64",94,9519,439,10052,2023-03-13
"65 - 69",130,10350,883,11363,2023-03-13
"70 - 74",182,12616,1740,14538,2023-03-13
"75 - 79",221,13195,2931,16347,2023-03-13
"80 - 84",237,11543,3361,15141,2023-03-13
"85 - 89",163,8018,2637,10818,2023-03-13
">90",83,3931,1277,5291,2023-03-13
