"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",84,2889,11,2984,2022-02-22
"20 - 24",22,889,3,914,2022-02-22
"25 - 29",33,1499,3,1535,2022-02-22
"30 - 34",31,2126,13,2170,2022-02-22
"35 - 39",40,2245,13,2298,2022-02-22
"40 - 44",31,2550,20,2601,2022-02-22
"45 - 49",32,3807,35,3874,2022-02-22
"50 - 54",71,5774,100,5945,2022-02-22
"55 - 59",86,6969,171,7226,2022-02-22
"60 - 64",106,7230,338,7674,2022-02-22
"65 - 69",149,7186,690,8025,2022-02-22
"70 - 74",192,8521,1417,10130,2022-02-22
"75 - 79",213,8196,2382,10791,2022-02-22
"80 - 84",189,6659,2791,9639,2022-02-22
"85 - 89",149,4263,2081,6493,2022-02-22
">90",49,1918,914,2881,2022-02-22
