"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4734,18,4812,2023-02-09
"20 - 24",2,1203,4,1209,2023-02-09
"25 - 29",11,2057,3,2071,2023-02-09
"30 - 34",18,2794,17,2829,2023-02-09
"35 - 39",14,2842,18,2874,2023-02-09
"40 - 44",15,3110,24,3149,2023-02-09
"45 - 49",12,4431,49,4492,2023-02-09
"50 - 54",26,6858,128,7012,2023-02-09
"55 - 59",41,8494,234,8769,2023-02-09
"60 - 64",49,9372,433,9854,2023-02-09
"65 - 69",92,10100,866,11058,2023-02-09
"70 - 74",91,12287,1714,14092,2023-02-09
"75 - 79",132,12783,2897,15812,2023-02-09
"80 - 84",122,11142,3309,14573,2023-02-09
"85 - 89",103,7706,2592,10401,2023-02-09
">90",49,3751,1250,5050,2023-02-09
