"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",57,1758,10,1825,2021-11-23
"20 - 24",5,610,3,618,2021-11-23
"25 - 29",23,1013,2,1038,2021-11-23
"30 - 34",39,1473,12,1524,2021-11-23
"35 - 39",36,1650,10,1696,2021-11-23
"40 - 44",45,2019,15,2079,2021-11-23
"45 - 49",57,3233,29,3319,2021-11-23
"50 - 54",79,4915,80,5074,2021-11-23
"55 - 59",84,5937,144,6165,2021-11-23
"60 - 64",146,5980,266,6392,2021-11-23
"65 - 69",196,5879,554,6629,2021-11-23
"70 - 74",238,6910,1162,8310,2021-11-23
"75 - 79",304,6576,1942,8822,2021-11-23
"80 - 84",318,5219,2266,7803,2021-11-23
"85 - 89",223,3275,1677,5175,2021-11-23
">90",101,1448,721,2270,2021-11-23
