"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,2167,12,2243,2022-01-19
"20 - 24",13,732,3,748,2022-01-19
"25 - 29",28,1235,3,1266,2022-01-19
"30 - 34",15,1781,13,1809,2022-01-19
"35 - 39",26,1970,12,2008,2022-01-19
"40 - 44",27,2334,18,2379,2022-01-19
"45 - 49",24,3615,31,3670,2022-01-19
"50 - 54",51,5492,93,5636,2022-01-19
"55 - 59",67,6622,161,6850,2022-01-19
"60 - 64",77,6861,318,7256,2022-01-19
"65 - 69",87,6816,658,7561,2022-01-19
"70 - 74",100,8039,1363,9502,2022-01-19
"75 - 79",132,7775,2296,10203,2022-01-19
"80 - 84",98,6234,2692,9024,2022-01-19
"85 - 89",71,3948,2002,6021,2022-01-19
">90",27,1773,864,2664,2022-01-19
