"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4746,18,4828,2023-02-15
"20 - 24",3,1204,4,1211,2023-02-15
"25 - 29",10,2060,3,2073,2023-02-15
"30 - 34",18,2799,17,2834,2023-02-15
"35 - 39",11,2849,18,2878,2023-02-15
"40 - 44",18,3113,24,3155,2023-02-15
"45 - 49",13,4435,49,4497,2023-02-15
"50 - 54",24,6866,129,7019,2023-02-15
"55 - 59",48,8498,235,8781,2023-02-15
"60 - 64",46,9385,433,9864,2023-02-15
"65 - 69",87,10131,865,11083,2023-02-15
"70 - 74",91,12327,1716,14134,2023-02-15
"75 - 79",133,12823,2901,15857,2023-02-15
"80 - 84",132,11186,3315,14633,2023-02-15
"85 - 89",101,7739,2596,10436,2023-02-15
">90",52,3771,1254,5077,2023-02-15
