"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,4565,16,4652,2022-12-21
"20 - 24",3,1187,4,1194,2022-12-21
"25 - 29",17,2018,3,2038,2022-12-21
"30 - 34",16,2740,16,2772,2022-12-21
"35 - 39",15,2786,18,2819,2022-12-21
"40 - 44",16,3057,24,3097,2022-12-21
"45 - 49",21,4358,47,4426,2022-12-21
"50 - 54",30,6741,125,6896,2022-12-21
"55 - 59",52,8333,221,8606,2022-12-21
"60 - 64",56,9114,424,9594,2022-12-21
"65 - 69",100,9729,841,10670,2022-12-21
"70 - 74",109,11817,1671,13597,2022-12-21
"75 - 79",165,12152,2825,15142,2022-12-21
"80 - 84",127,10512,3246,13885,2022-12-21
"85 - 89",121,7189,2520,9830,2022-12-21
">90",66,3486,1205,4757,2022-12-21
