"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",93,3856,14,3963,2022-07-07
"20 - 24",8,1069,3,1080,2022-07-07
"25 - 29",14,1836,3,1853,2022-07-07
"30 - 34",20,2525,15,2560,2022-07-07
"35 - 39",12,2583,16,2611,2022-07-07
"40 - 44",17,2848,22,2887,2022-07-07
"45 - 49",20,4125,43,4188,2022-07-07
"50 - 54",41,6345,113,6499,2022-07-07
"55 - 59",66,7748,198,8012,2022-07-07
"60 - 64",84,8258,392,8734,2022-07-07
"65 - 69",105,8563,768,9436,2022-07-07
"70 - 74",145,10221,1555,11921,2022-07-07
"75 - 79",212,10058,2618,12888,2022-07-07
"80 - 84",192,8485,3036,11713,2022-07-07
"85 - 89",131,5682,2314,8127,2022-07-07
">90",68,2665,1072,3805,2022-07-07
