"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,3700,13,3774,2022-05-12
"20 - 24",3,1044,3,1050,2022-05-12
"25 - 29",15,1786,3,1804,2022-05-12
"30 - 34",12,2482,15,2509,2022-05-12
"35 - 39",14,2536,16,2566,2022-05-12
"40 - 44",16,2799,22,2837,2022-05-12
"45 - 49",18,4071,41,4130,2022-05-12
"50 - 54",36,6252,112,6400,2022-05-12
"55 - 59",39,7612,198,7849,2022-05-12
"60 - 64",66,8097,377,8540,2022-05-12
"65 - 69",82,8298,753,9133,2022-05-12
"70 - 74",105,9922,1536,11563,2022-05-12
"75 - 79",141,9695,2584,12420,2022-05-12
"80 - 84",116,8142,2997,11255,2022-05-12
"85 - 89",104,5383,2278,7765,2022-05-12
">90",43,2497,1044,3584,2022-05-12
