"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,3752,12,3832,2022-06-10
"20 - 24",4,1052,3,1059,2022-06-10
"25 - 29",11,1807,3,1821,2022-06-10
"30 - 34",11,2497,15,2523,2022-06-10
"35 - 39",12,2554,16,2582,2022-06-10
"40 - 44",16,2819,22,2857,2022-06-10
"45 - 49",14,4092,42,4148,2022-06-10
"50 - 54",38,6296,112,6446,2022-06-10
"55 - 59",36,7658,198,7892,2022-06-10
"60 - 64",40,8161,384,8585,2022-06-10
"65 - 69",62,8393,762,9217,2022-06-10
"70 - 74",77,10046,1544,11667,2022-06-10
"75 - 79",122,9820,2601,12543,2022-06-10
"80 - 84",90,8279,3014,11383,2022-06-10
"85 - 89",90,5495,2296,7881,2022-06-10
">90",42,2561,1053,3656,2022-06-10
