"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,4837,18,4923,2023-03-06
"20 - 24",5,1214,4,1223,2023-03-06
"25 - 29",13,2072,3,2088,2023-03-06
"30 - 34",17,2816,17,2850,2023-03-06
"35 - 39",15,2867,19,2901,2023-03-06
"40 - 44",22,3136,24,3182,2023-03-06
"45 - 49",17,4457,49,4523,2023-03-06
"50 - 54",32,6906,128,7066,2023-03-06
"55 - 59",74,8555,239,8868,2023-03-06
"60 - 64",69,9467,437,9973,2023-03-06
"65 - 69",109,10271,879,11259,2023-03-06
"70 - 74",147,12498,1732,14377,2023-03-06
"75 - 79",208,13058,2921,16187,2023-03-06
"80 - 84",205,11400,3342,14947,2023-03-06
"85 - 89",155,7899,2618,10672,2023-03-06
">90",81,3863,1266,5210,2023-03-06
