"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",73,3654,11,3738,2022-04-25
"20 - 24",5,1037,3,1045,2022-04-25
"25 - 29",16,1769,3,1788,2022-04-25
"30 - 34",19,2461,15,2495,2022-04-25
"35 - 39",18,2522,14,2554,2022-04-25
"40 - 44",15,2785,22,2822,2022-04-25
"45 - 49",16,4057,41,4114,2022-04-25
"50 - 54",56,6199,111,6366,2022-04-25
"55 - 59",66,7554,193,7813,2022-04-25
"60 - 64",100,8010,373,8483,2022-04-25
"65 - 69",135,8182,750,9067,2022-04-25
"70 - 74",167,9757,1526,11450,2022-04-25
"75 - 79",190,9532,2563,12285,2022-04-25
"80 - 84",168,7991,2973,11132,2022-04-25
"85 - 89",145,5255,2262,7662,2022-04-25
">90",71,2430,1031,3532,2022-04-25
