"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,2062,10,2112,2022-01-04
"20 - 24",6,692,3,701,2022-01-04
"25 - 29",22,1169,3,1194,2022-01-04
"30 - 34",11,1713,13,1737,2022-01-04
"35 - 39",29,1902,11,1942,2022-01-04
"40 - 44",33,2269,17,2319,2022-01-04
"45 - 49",32,3544,30,3606,2022-01-04
"50 - 54",73,5381,89,5543,2022-01-04
"55 - 59",70,6492,160,6722,2022-01-04
"60 - 64",103,6695,309,7107,2022-01-04
"65 - 69",121,6681,645,7447,2022-01-04
"70 - 74",179,7850,1345,9374,2022-01-04
"75 - 79",214,7560,2250,10024,2022-01-04
"80 - 84",147,6091,2642,8880,2022-01-04
"85 - 89",88,3859,1967,5914,2022-01-04
">90",37,1724,845,2606,2022-01-04
