"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",59,3706,12,3777,2022-05-16
"20 - 24",4,1044,3,1051,2022-05-16
"25 - 29",15,1788,3,1806,2022-05-16
"30 - 34",14,2485,15,2514,2022-05-16
"35 - 39",12,2538,16,2566,2022-05-16
"40 - 44",15,2802,22,2839,2022-05-16
"45 - 49",19,4072,41,4132,2022-05-16
"50 - 54",43,6254,113,6410,2022-05-16
"55 - 59",40,7622,198,7860,2022-05-16
"60 - 64",61,8109,379,8549,2022-05-16
"65 - 69",83,8311,754,9148,2022-05-16
"70 - 74",101,9942,1536,11579,2022-05-16
"75 - 79",131,9718,2588,12437,2022-05-16
"80 - 84",111,8162,2998,11271,2022-05-16
"85 - 89",110,5399,2278,7787,2022-05-16
">90",40,2506,1047,3593,2022-05-16
