"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,4584,17,4677,2022-12-27
"20 - 24",2,1190,4,1196,2022-12-27
"25 - 29",19,2021,3,2043,2022-12-27
"30 - 34",13,2747,17,2777,2022-12-27
"35 - 39",18,2790,18,2826,2022-12-27
"40 - 44",17,3065,24,3106,2022-12-27
"45 - 49",18,4366,47,4431,2022-12-27
"50 - 54",40,6749,126,6915,2022-12-27
"55 - 59",55,8349,223,8627,2022-12-27
"60 - 64",57,9143,423,9623,2022-12-27
"65 - 69",96,9758,843,10697,2022-12-27
"70 - 74",109,11856,1675,13640,2022-12-27
"75 - 79",175,12203,2833,15211,2022-12-27
"80 - 84",154,10550,3250,13954,2022-12-27
"85 - 89",142,7225,2521,9888,2022-12-27
">90",76,3511,1211,4798,2022-12-27
