"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1369,6,1406,2021-08-07
"20 - 24",6,486,3,495,2021-08-07
"25 - 29",18,791,2,811,2021-08-07
"30 - 34",11,1172,10,1193,2021-08-07
"35 - 39",16,1354,10,1380,2021-08-07
"40 - 44",21,1692,12,1725,2021-08-07
"45 - 49",27,2870,25,2922,2021-08-07
"50 - 54",31,4457,77,4565,2021-08-07
"55 - 59",40,5423,130,5593,2021-08-07
"60 - 64",45,5422,243,5710,2021-08-07
"65 - 69",38,5322,505,5865,2021-08-07
"70 - 74",53,6265,1063,7381,2021-08-07
"75 - 79",49,5869,1731,7649,2021-08-07
"80 - 84",40,4560,1972,6572,2021-08-07
"85 - 89",37,2794,1448,4279,2021-08-07
">90",18,1227,609,1854,2021-08-07
