"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",55,2095,11,2161,2022-01-10
"20 - 24",7,709,3,719,2022-01-10
"25 - 29",24,1194,3,1221,2022-01-10
"30 - 34",17,1736,13,1766,2022-01-10
"35 - 39",38,1923,12,1973,2022-01-10
"40 - 44",23,2298,17,2338,2022-01-10
"45 - 49",26,3572,31,3629,2022-01-10
"50 - 54",74,5430,90,5594,2022-01-10
"55 - 59",92,6532,161,6785,2022-01-10
"60 - 64",100,6769,313,7182,2022-01-10
"65 - 69",115,6739,651,7505,2022-01-10
"70 - 74",139,7944,1353,9436,2022-01-10
"75 - 79",183,7659,2271,10113,2022-01-10
"80 - 84",143,6143,2664,8950,2022-01-10
"85 - 89",84,3901,1980,5965,2022-01-10
">90",42,1743,853,2638,2022-01-10
