"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4708,19,4787,2023-01-31
"20 - 24",6,1198,4,1208,2023-01-31
"25 - 29",10,2051,3,2064,2023-01-31
"30 - 34",15,2793,17,2825,2023-01-31
"35 - 39",9,2840,18,2867,2023-01-31
"40 - 44",18,3097,24,3139,2023-01-31
"45 - 49",13,4425,49,4487,2023-01-31
"50 - 54",33,6837,127,6997,2023-01-31
"55 - 59",40,8475,232,8747,2023-01-31
"60 - 64",42,9345,430,9817,2023-01-31
"65 - 69",78,10061,862,11001,2023-01-31
"70 - 74",83,12235,1710,14028,2023-01-31
"75 - 79",136,12700,2890,15726,2023-01-31
"80 - 84",119,11056,3299,14474,2023-01-31
"85 - 89",97,7658,2580,10335,2023-01-31
">90",58,3716,1247,5021,2023-01-31
