"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",78,3602,12,3692,2022-04-15
"20 - 24",6,1030,3,1039,2022-04-15
"25 - 29",19,1756,3,1778,2022-04-15
"30 - 34",18,2448,15,2481,2022-04-15
"35 - 39",23,2514,14,2551,2022-04-15
"40 - 44",24,2772,22,2818,2022-04-15
"45 - 49",25,4042,41,4108,2022-04-15
"50 - 54",56,6172,109,6337,2022-04-15
"55 - 59",76,7504,192,7772,2022-04-15
"60 - 64",111,7948,367,8426,2022-04-15
"65 - 69",137,8099,743,8979,2022-04-15
"70 - 74",196,9644,1517,11357,2022-04-15
"75 - 79",225,9411,2545,12181,2022-04-15
"80 - 84",203,7880,2954,11037,2022-04-15
"85 - 89",161,5158,2243,7562,2022-04-15
">90",82,2380,1014,3476,2022-04-15
