"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,4698,19,4775,2023-01-27
"20 - 24",3,1197,4,1204,2023-01-27
"25 - 29",11,2050,3,2064,2023-01-27
"30 - 34",14,2788,17,2819,2023-01-27
"35 - 39",12,2836,18,2866,2023-01-27
"40 - 44",15,3094,24,3133,2023-01-27
"45 - 49",11,4423,49,4483,2023-01-27
"50 - 54",31,6832,127,6990,2023-01-27
"55 - 59",40,8470,231,8741,2023-01-27
"60 - 64",42,9336,428,9806,2023-01-27
"65 - 69",79,10043,861,10983,2023-01-27
"70 - 74",94,12215,1704,14013,2023-01-27
"75 - 79",138,12667,2882,15687,2023-01-27
"80 - 84",124,11026,3298,14448,2023-01-27
"85 - 89",90,7635,2579,10304,2023-01-27
">90",45,3708,1246,4999,2023-01-27
