"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",88,3435,11,3534,2022-03-30
"20 - 24",10,1010,3,1023,2022-03-30
"25 - 29",27,1708,3,1738,2022-03-30
"30 - 34",32,2384,15,2431,2022-03-30
"35 - 39",27,2474,13,2514,2022-03-30
"40 - 44",29,2729,21,2779,2022-03-30
"45 - 49",36,3991,40,4067,2022-03-30
"50 - 54",65,6081,108,6254,2022-03-30
"55 - 59",97,7380,181,7658,2022-03-30
"60 - 64",135,7760,357,8252,2022-03-30
"65 - 69",179,7842,726,8747,2022-03-30
"70 - 74",227,9312,1486,11025,2022-03-30
"75 - 79",277,9034,2497,11808,2022-03-30
"80 - 84",298,7503,2920,10721,2022-03-30
"85 - 89",221,4892,2210,7323,2022-03-30
">90",136,2211,984,3331,2022-03-30
