"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,2057,10,2109,2022-01-03
"20 - 24",6,689,3,698,2022-01-03
"25 - 29",17,1161,3,1181,2022-01-03
"30 - 34",19,1697,13,1729,2022-01-03
"35 - 39",32,1896,11,1939,2022-01-03
"40 - 44",28,2261,17,2306,2022-01-03
"45 - 49",30,3536,30,3596,2022-01-03
"50 - 54",77,5359,89,5525,2022-01-03
"55 - 59",81,6466,160,6707,2022-01-03
"60 - 64",104,6670,306,7080,2022-01-03
"65 - 69",127,6655,640,7422,2022-01-03
"70 - 74",190,7808,1342,9340,2022-01-03
"75 - 79",216,7533,2241,9990,2022-01-03
"80 - 84",150,6068,2637,8855,2022-01-03
"85 - 89",95,3845,1960,5900,2022-01-03
">90",36,1718,842,2596,2022-01-03
