"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",60,4727,18,4805,2023-02-07
"20 - 24",3,1202,4,1209,2023-02-07
"25 - 29",10,2056,3,2069,2023-02-07
"30 - 34",14,2795,17,2826,2023-02-07
"35 - 39",10,2842,18,2870,2023-02-07
"40 - 44",15,3109,24,3148,2023-02-07
"45 - 49",12,4431,49,4492,2023-02-07
"50 - 54",25,6854,128,7007,2023-02-07
"55 - 59",45,8488,234,8767,2023-02-07
"60 - 64",45,9364,432,9841,2023-02-07
"65 - 69",84,10086,862,11032,2023-02-07
"70 - 74",93,12264,1710,14067,2023-02-07
"75 - 79",142,12751,2898,15791,2023-02-07
"80 - 84",123,11108,3307,14538,2023-02-07
"85 - 89",103,7686,2590,10379,2023-02-07
">90",52,3738,1247,5037,2023-02-07
