"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",52,2125,11,2188,2022-01-14
"20 - 24",8,721,3,732,2022-01-14
"25 - 29",24,1215,3,1242,2022-01-14
"30 - 34",15,1759,13,1787,2022-01-14
"35 - 39",26,1947,12,1985,2022-01-14
"40 - 44",23,2312,18,2353,2022-01-14
"45 - 49",29,3587,31,3647,2022-01-14
"50 - 54",57,5463,92,5612,2022-01-14
"55 - 59",78,6577,161,6816,2022-01-14
"60 - 64",77,6823,313,7213,2022-01-14
"65 - 69",90,6780,657,7527,2022-01-14
"70 - 74",119,7998,1357,9474,2022-01-14
"75 - 79",163,7720,2277,10160,2022-01-14
"80 - 84",114,6195,2676,8985,2022-01-14
"85 - 89",68,3929,1994,5991,2022-01-14
">90",37,1758,857,2652,2022-01-14
