"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,1955,11,2027,2021-12-18
"20 - 24",9,669,3,681,2021-12-18
"25 - 29",16,1124,2,1142,2021-12-18
"30 - 34",26,1629,12,1667,2021-12-18
"35 - 39",28,1826,11,1865,2021-12-18
"40 - 44",35,2200,16,2251,2021-12-18
"45 - 49",40,3455,30,3525,2021-12-18
"50 - 54",91,5230,86,5407,2021-12-18
"55 - 59",96,6297,155,6548,2021-12-18
"60 - 64",146,6472,288,6906,2021-12-18
"65 - 69",178,6394,611,7183,2021-12-18
"70 - 74",237,7523,1293,9053,2021-12-18
"75 - 79",286,7249,2162,9697,2021-12-18
"80 - 84",237,5821,2548,8606,2021-12-18
"85 - 89",152,3707,1893,5752,2021-12-18
">90",61,1651,816,2528,2021-12-18
