"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4419,17,4502,2022-11-11
"20 - 24",8,1172,4,1184,2022-11-11
"25 - 29",13,1984,3,2000,2022-11-11
"30 - 34",16,2706,16,2738,2022-11-11
"35 - 39",19,2756,17,2792,2022-11-11
"40 - 44",19,3013,24,3056,2022-11-11
"45 - 49",14,4317,47,4378,2022-11-11
"50 - 54",48,6657,123,6828,2022-11-11
"55 - 59",45,8220,219,8484,2022-11-11
"60 - 64",68,8939,413,9420,2022-11-11
"65 - 69",105,9513,827,10445,2022-11-11
"70 - 74",118,11524,1649,13291,2022-11-11
"75 - 79",185,11765,2783,14733,2022-11-11
"80 - 84",159,10125,3206,13490,2022-11-11
"85 - 89",112,6923,2478,9513,2022-11-11
">90",60,3339,1179,4578,2022-11-11
