"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,4184,16,4264,2022-09-28
"20 - 24",7,1131,4,1142,2022-09-28
"25 - 29",14,1931,3,1948,2022-09-28
"30 - 34",13,2634,16,2663,2022-09-28
"35 - 39",12,2675,17,2704,2022-09-28
"40 - 44",24,2949,23,2996,2022-09-28
"45 - 49",13,4244,45,4302,2022-09-28
"50 - 54",41,6520,120,6681,2022-09-28
"55 - 59",44,8018,208,8270,2022-09-28
"60 - 64",59,8651,405,9115,2022-09-28
"65 - 69",91,9081,804,9976,2022-09-28
"70 - 74",119,10951,1612,12682,2022-09-28
"75 - 79",152,11026,2703,13881,2022-09-28
"80 - 84",141,9400,3128,12669,2022-09-28
"85 - 89",114,6360,2413,8887,2022-09-28
">90",55,3050,1132,4237,2022-09-28
