"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,1830,11,1906,2021-12-01
"20 - 24",14,622,3,639,2021-12-01
"25 - 29",26,1048,2,1076,2021-12-01
"30 - 34",23,1521,12,1556,2021-12-01
"35 - 39",55,1700,11,1766,2021-12-01
"40 - 44",52,2072,16,2140,2021-12-01
"45 - 49",58,3306,30,3394,2021-12-01
"50 - 54",103,5010,81,5194,2021-12-01
"55 - 59",121,6039,148,6308,2021-12-01
"60 - 64",162,6145,275,6582,2021-12-01
"65 - 69",204,6034,572,6810,2021-12-01
"70 - 74",295,7092,1201,8588,2021-12-01
"75 - 79",335,6783,2025,9143,2021-12-01
"80 - 84",308,5442,2363,8113,2021-12-01
"85 - 89",211,3422,1757,5390,2021-12-01
">90",95,1519,750,2364,2021-12-01
