"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1527,6,1564,2021-10-05
"20 - 24",2,554,3,559,2021-10-05
"25 - 29",10,907,2,919,2021-10-05
"30 - 34",11,1314,11,1336,2021-10-05
"35 - 39",11,1502,10,1523,2021-10-05
"40 - 44",21,1870,13,1904,2021-10-05
"45 - 49",16,3038,28,3082,2021-10-05
"50 - 54",32,4680,77,4789,2021-10-05
"55 - 59",29,5648,133,5810,2021-10-05
"60 - 64",18,5628,247,5893,2021-10-05
"65 - 69",28,5510,520,6058,2021-10-05
"70 - 74",38,6449,1091,7578,2021-10-05
"75 - 79",38,6052,1790,7880,2021-10-05
"80 - 84",39,4736,2050,6825,2021-10-05
"85 - 89",22,2927,1498,4447,2021-10-05
">90",9,1288,634,1931,2021-10-05
