"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",65,4438,17,4520,2022-11-18
"20 - 24",5,1176,4,1185,2022-11-18
"25 - 29",12,1990,3,2005,2022-11-18
"30 - 34",12,2712,16,2740,2022-11-18
"35 - 39",14,2765,17,2796,2022-11-18
"40 - 44",24,3021,24,3069,2022-11-18
"45 - 49",12,4324,47,4383,2022-11-18
"50 - 54",38,6676,123,6837,2022-11-18
"55 - 59",44,8240,219,8503,2022-11-18
"60 - 64",71,8964,415,9450,2022-11-18
"65 - 69",92,9545,830,10467,2022-11-18
"70 - 74",126,11577,1652,13355,2022-11-18
"75 - 79",171,11843,2791,14805,2022-11-18
"80 - 84",145,10190,3214,13549,2022-11-18
"85 - 89",105,6959,2488,9552,2022-11-18
">90",58,3367,1185,4610,2022-11-18
