"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",63,1898,11,1972,2021-12-10
"20 - 24",8,652,3,663,2021-12-10
"25 - 29",25,1090,2,1117,2021-12-10
"30 - 34",38,1575,12,1625,2021-12-10
"35 - 39",39,1770,11,1820,2021-12-10
"40 - 44",51,2143,16,2210,2021-12-10
"45 - 49",62,3379,30,3471,2021-12-10
"50 - 54",108,5119,84,5311,2021-12-10
"55 - 59",130,6169,151,6450,2021-12-10
"60 - 64",144,6315,280,6739,2021-12-10
"65 - 69",203,6239,596,7038,2021-12-10
"70 - 74",260,7325,1247,8832,2021-12-10
"75 - 79",384,6996,2099,9479,2021-12-10
"80 - 84",267,5646,2475,8388,2021-12-10
"85 - 89",187,3604,1835,5626,2021-12-10
">90",97,1590,786,2473,2021-12-10
