"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",80,3500,12,3592,2022-04-04
"20 - 24",10,1017,3,1030,2022-04-04
"25 - 29",22,1727,3,1752,2022-04-04
"30 - 34",31,2403,15,2449,2022-04-04
"35 - 39",21,2491,14,2526,2022-04-04
"40 - 44",31,2741,22,2794,2022-04-04
"45 - 49",37,4004,41,4082,2022-04-04
"50 - 54",62,6113,108,6283,2022-04-04
"55 - 59",83,7424,185,7692,2022-04-04
"60 - 64",121,7819,361,8301,2022-04-04
"65 - 69",177,7921,729,8827,2022-04-04
"70 - 74",225,9412,1494,11131,2022-04-04
"75 - 79",295,9133,2514,11942,2022-04-04
"80 - 84",270,7627,2934,10831,2022-04-04
"85 - 89",199,4973,2222,7394,2022-04-04
">90",114,2277,995,3386,2022-04-04
