"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",72,4603,17,4692,2022-12-30
"20 - 24",2,1191,4,1197,2022-12-30
"25 - 29",16,2026,3,2045,2022-12-30
"30 - 34",18,2752,17,2787,2022-12-30
"35 - 39",15,2797,18,2830,2022-12-30
"40 - 44",19,3066,24,3109,2022-12-30
"45 - 49",16,4377,47,4440,2022-12-30
"50 - 54",42,6760,126,6928,2022-12-30
"55 - 59",54,8359,224,8637,2022-12-30
"60 - 64",59,9161,425,9645,2022-12-30
"65 - 69",105,9788,842,10735,2022-12-30
"70 - 74",111,11905,1681,13697,2022-12-30
"75 - 79",188,12255,2837,15280,2022-12-30
"80 - 84",161,10599,3254,14014,2022-12-30
"85 - 89",159,7271,2526,9956,2022-12-30
">90",76,3531,1217,4824,2022-12-30
