"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1474,6,1516,2021-09-17
"20 - 24",3,545,3,551,2021-09-17
"25 - 29",8,891,2,901,2021-09-17
"30 - 34",11,1285,11,1307,2021-09-17
"35 - 39",12,1474,10,1496,2021-09-17
"40 - 44",16,1828,13,1857,2021-09-17
"45 - 49",17,3000,27,3044,2021-09-17
"50 - 54",33,4622,77,4732,2021-09-17
"55 - 59",33,5603,133,5769,2021-09-17
"60 - 64",38,5570,246,5854,2021-09-17
"65 - 69",29,5459,518,6006,2021-09-17
"70 - 74",40,6412,1083,7535,2021-09-17
"75 - 79",39,6020,1779,7838,2021-09-17
"80 - 84",57,4685,2034,6776,2021-09-17
"85 - 89",33,2897,1489,4419,2021-09-17
">90",12,1277,626,1915,2021-09-17
