"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",98,3112,11,3221,2022-03-10
"20 - 24",15,953,3,971,2022-03-10
"25 - 29",39,1584,3,1626,2022-03-10
"30 - 34",30,2233,13,2276,2022-03-10
"35 - 39",34,2339,13,2386,2022-03-10
"40 - 44",28,2629,21,2678,2022-03-10
"45 - 49",30,3883,37,3950,2022-03-10
"50 - 54",78,5904,102,6084,2022-03-10
"55 - 59",90,7131,176,7397,2022-03-10
"60 - 64",120,7428,346,7894,2022-03-10
"65 - 69",129,7427,706,8262,2022-03-10
"70 - 74",208,8809,1434,10451,2022-03-10
"75 - 79",214,8487,2429,11130,2022-03-10
"80 - 84",193,6940,2840,9973,2022-03-10
"85 - 89",157,4482,2125,6764,2022-03-10
">90",63,2003,939,3005,2022-03-10
