"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",67,4927,19,5013,2023-03-22
"20 - 24",4,1225,4,1233,2023-03-22
"25 - 29",12,2087,3,2102,2023-03-22
"30 - 34",16,2840,18,2874,2023-03-22
"35 - 39",16,2888,19,2923,2023-03-22
"40 - 44",16,3160,25,3201,2023-03-22
"45 - 49",16,4491,50,4557,2023-03-22
"50 - 54",39,6959,129,7127,2023-03-22
"55 - 59",72,8635,242,8949,2023-03-22
"60 - 64",76,9594,441,10111,2023-03-22
"65 - 69",129,10444,887,11460,2023-03-22
"70 - 74",165,12761,1750,14676,2023-03-22
"75 - 79",222,13358,2940,16520,2023-03-22
"80 - 84",228,11737,3373,15338,2023-03-22
"85 - 89",205,8128,2653,10986,2023-03-22
">90",76,4000,1285,5361,2023-03-22
