"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",72,3656,12,3740,2022-04-27
"20 - 24",4,1038,3,1045,2022-04-27
"25 - 29",16,1769,3,1788,2022-04-27
"30 - 34",16,2468,15,2499,2022-04-27
"35 - 39",16,2523,15,2554,2022-04-27
"40 - 44",16,2785,22,2823,2022-04-27
"45 - 49",17,4060,41,4118,2022-04-27
"50 - 54",56,6207,110,6373,2022-04-27
"55 - 59",68,7559,193,7820,2022-04-27
"60 - 64",94,8023,373,8490,2022-04-27
"65 - 69",133,8199,749,9081,2022-04-27
"70 - 74",152,9783,1527,11462,2022-04-27
"75 - 79",187,9552,2566,12305,2022-04-27
"80 - 84",161,8011,2978,11150,2022-04-27
"85 - 89",139,5272,2261,7672,2022-04-27
">90",67,2440,1033,3540,2022-04-27
