"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",94,2630,10,2734,2022-02-09
"20 - 24",25,825,3,853,2022-02-09
"25 - 29",40,1404,3,1447,2022-02-09
"30 - 34",41,1995,13,2049,2022-02-09
"35 - 39",34,2151,12,2197,2022-02-09
"40 - 44",39,2459,19,2517,2022-02-09
"45 - 49",34,3725,33,3792,2022-02-09
"50 - 54",66,5654,95,5815,2022-02-09
"55 - 59",96,6822,169,7087,2022-02-09
"60 - 64",92,7075,332,7499,2022-02-09
"65 - 69",123,7012,676,7811,2022-02-09
"70 - 74",178,8283,1391,9852,2022-02-09
"75 - 79",170,8021,2342,10533,2022-02-09
"80 - 84",165,6468,2746,9379,2022-02-09
"85 - 89",127,4107,2044,6278,2022-02-09
">90",47,1846,884,2777,2022-02-09
