"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,4114,16,4188,2022-08-29
"20 - 24",8,1121,3,1132,2022-08-29
"25 - 29",13,1915,3,1931,2022-08-29
"30 - 34",12,2621,16,2649,2022-08-29
"35 - 39",12,2652,17,2681,2022-08-29
"40 - 44",17,2924,23,2964,2022-08-29
"45 - 49",19,4216,45,4280,2022-08-29
"50 - 54",38,6475,118,6631,2022-08-29
"55 - 59",42,7950,207,8199,2022-08-29
"60 - 64",51,8591,404,9046,2022-08-29
"65 - 69",72,8982,795,9849,2022-08-29
"70 - 74",113,10796,1604,12513,2022-08-29
"75 - 79",141,10801,2693,13635,2022-08-29
"80 - 84",119,9187,3109,12415,2022-08-29
"85 - 89",92,6219,2391,8702,2022-08-29
">90",30,2975,1122,4127,2022-08-29
