"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",94,3934,15,4043,2022-07-20
"20 - 24",14,1092,3,1109,2022-07-20
"25 - 29",18,1855,3,1876,2022-07-20
"30 - 34",18,2559,15,2592,2022-07-20
"35 - 39",11,2607,16,2634,2022-07-20
"40 - 44",18,2872,22,2912,2022-07-20
"45 - 49",26,4157,44,4227,2022-07-20
"50 - 54",42,6383,114,6539,2022-07-20
"55 - 59",56,7816,201,8073,2022-07-20
"60 - 64",90,8361,397,8848,2022-07-20
"65 - 69",121,8690,770,9581,2022-07-20
"70 - 74",148,10393,1565,12106,2022-07-20
"75 - 79",207,10266,2641,13114,2022-07-20
"80 - 84",183,8707,3054,11944,2022-07-20
"85 - 89",153,5841,2328,8322,2022-07-20
">90",72,2748,1088,3908,2022-07-20
