"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,1454,6,1486,2021-09-05
"20 - 24",2,535,3,540,2021-09-05
"25 - 29",11,873,2,886,2021-09-05
"30 - 34",18,1253,11,1282,2021-09-05
"35 - 39",15,1436,10,1461,2021-09-05
"40 - 44",23,1792,13,1828,2021-09-05
"45 - 49",21,2957,26,3004,2021-09-05
"50 - 54",35,4587,77,4699,2021-09-05
"55 - 59",36,5557,131,5724,2021-09-05
"60 - 64",31,5532,243,5806,2021-09-05
"65 - 69",36,5421,514,5971,2021-09-05
"70 - 74",49,6367,1076,7492,2021-09-05
"75 - 79",57,5969,1759,7785,2021-09-05
"80 - 84",42,4649,2022,6713,2021-09-05
"85 - 89",33,2867,1480,4380,2021-09-05
">90",13,1265,622,1900,2021-09-05
