"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,2134,11,2201,2022-01-16
"20 - 24",9,724,3,736,2022-01-16
"25 - 29",22,1219,3,1244,2022-01-16
"30 - 34",12,1765,13,1790,2022-01-16
"35 - 39",29,1950,12,1991,2022-01-16
"40 - 44",28,2315,18,2361,2022-01-16
"45 - 49",25,3597,31,3653,2022-01-16
"50 - 54",54,5469,93,5616,2022-01-16
"55 - 59",77,6589,161,6827,2022-01-16
"60 - 64",81,6825,314,7220,2022-01-16
"65 - 69",98,6793,657,7548,2022-01-16
"70 - 74",109,8010,1358,9477,2022-01-16
"75 - 79",155,7732,2281,10168,2022-01-16
"80 - 84",107,6206,2682,8995,2022-01-16
"85 - 89",72,3934,1997,6003,2022-01-16
">90",31,1764,858,2653,2022-01-16
