"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",98,3972,15,4085,2022-07-26
"20 - 24",11,1099,3,1113,2022-07-26
"25 - 29",18,1866,3,1887,2022-07-26
"30 - 34",16,2566,15,2597,2022-07-26
"35 - 39",15,2615,17,2647,2022-07-26
"40 - 44",22,2881,22,2925,2022-07-26
"45 - 49",26,4166,45,4237,2022-07-26
"50 - 54",36,6395,115,6546,2022-07-26
"55 - 59",54,7850,202,8106,2022-07-26
"60 - 64",95,8409,397,8901,2022-07-26
"65 - 69",122,8735,774,9631,2022-07-26
"70 - 74",167,10457,1571,12195,2022-07-26
"75 - 79",212,10377,2646,13235,2022-07-26
"80 - 84",178,8787,3060,12025,2022-07-26
"85 - 89",146,5902,2341,8389,2022-07-26
">90",83,2784,1093,3960,2022-07-26
