"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",69,4476,17,4562,2022-12-01
"20 - 24",3,1182,4,1189,2022-12-01
"25 - 29",14,1998,3,2015,2022-12-01
"30 - 34",14,2721,16,2751,2022-12-01
"35 - 39",13,2774,18,2805,2022-12-01
"40 - 44",18,3034,24,3076,2022-12-01
"45 - 49",18,4331,47,4396,2022-12-01
"50 - 54",46,6691,123,6860,2022-12-01
"55 - 59",61,8259,220,8540,2022-12-01
"60 - 64",70,9018,418,9506,2022-12-01
"65 - 69",95,9603,833,10531,2022-12-01
"70 - 74",109,11657,1658,13424,2022-12-01
"75 - 79",166,11961,2803,14930,2022-12-01
"80 - 84",139,10301,3228,13668,2022-12-01
"85 - 89",113,7028,2499,9640,2022-12-01
">90",47,3417,1192,4656,2022-12-01
