"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",90,3243,10,3343,2022-03-16
"20 - 24",15,976,3,994,2022-03-16
"25 - 29",35,1636,3,1674,2022-03-16
"30 - 34",45,2280,13,2338,2022-03-16
"35 - 39",36,2382,13,2431,2022-03-16
"40 - 44",28,2664,21,2713,2022-03-16
"45 - 49",39,3916,38,3993,2022-03-16
"50 - 54",66,5970,103,6139,2022-03-16
"55 - 59",107,7205,177,7489,2022-03-16
"60 - 64",150,7526,350,8026,2022-03-16
"65 - 69",181,7535,714,8430,2022-03-16
"70 - 74",245,8936,1453,10634,2022-03-16
"75 - 79",267,8644,2443,11354,2022-03-16
"80 - 84",266,7089,2863,10218,2022-03-16
"85 - 89",214,4586,2149,6949,2022-03-16
">90",103,2058,954,3115,2022-03-16
