"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,4680,19,4765,2023-01-23
"20 - 24",3,1196,4,1203,2023-01-23
"25 - 29",12,2046,3,2061,2023-01-23
"30 - 34",16,2784,17,2817,2023-01-23
"35 - 39",14,2831,18,2863,2023-01-23
"40 - 44",15,3090,24,3129,2023-01-23
"45 - 49",13,4418,49,4480,2023-01-23
"50 - 54",32,6826,125,6983,2023-01-23
"55 - 59",48,8450,231,8729,2023-01-23
"60 - 64",46,9320,426,9792,2023-01-23
"65 - 69",87,10016,857,10960,2023-01-23
"70 - 74",101,12178,1701,13980,2023-01-23
"75 - 79",140,12624,2878,15642,2023-01-23
"80 - 84",143,10971,3294,14408,2023-01-23
"85 - 89",110,7585,2572,10267,2023-01-23
">90",52,3686,1240,4978,2023-01-23
