"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",79,3278,11,3368,2022-03-18
"20 - 24",10,985,3,998,2022-03-18
"25 - 29",37,1647,3,1687,2022-03-18
"30 - 34",44,2294,13,2351,2022-03-18
"35 - 39",30,2398,13,2441,2022-03-18
"40 - 44",29,2672,21,2722,2022-03-18
"45 - 49",36,3933,39,4008,2022-03-18
"50 - 54",62,5991,104,6157,2022-03-18
"55 - 59",108,7235,178,7521,2022-03-18
"60 - 64",140,7562,351,8053,2022-03-18
"65 - 69",197,7577,715,8489,2022-03-18
"70 - 74",234,9009,1458,10701,2022-03-18
"75 - 79",243,8719,2450,11412,2022-03-18
"80 - 84",272,7162,2871,10305,2022-03-18
"85 - 89",203,4632,2162,6997,2022-03-18
">90",100,2085,959,3144,2022-03-18
