"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",74,4569,16,4659,2022-12-22
"20 - 24",4,1187,4,1195,2022-12-22
"25 - 29",15,2019,3,2037,2022-12-22
"30 - 34",14,2742,16,2772,2022-12-22
"35 - 39",16,2787,18,2821,2022-12-22
"40 - 44",15,3060,24,3099,2022-12-22
"45 - 49",20,4362,47,4429,2022-12-22
"50 - 54",34,6742,125,6901,2022-12-22
"55 - 59",55,8337,221,8613,2022-12-22
"60 - 64",57,9120,423,9600,2022-12-22
"65 - 69",98,9736,841,10675,2022-12-22
"70 - 74",106,11827,1672,13605,2022-12-22
"75 - 79",165,12164,2824,15153,2022-12-22
"80 - 84",129,10519,3249,13897,2022-12-22
"85 - 89",128,7197,2519,9844,2022-12-22
">90",70,3494,1205,4769,2022-12-22
