"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",82,3320,11,3413,2022-03-21
"20 - 24",9,990,3,1002,2022-03-21
"25 - 29",37,1667,3,1707,2022-03-21
"30 - 34",39,2318,13,2370,2022-03-21
"35 - 39",37,2418,13,2468,2022-03-21
"40 - 44",30,2683,21,2734,2022-03-21
"45 - 49",39,3940,39,4018,2022-03-21
"50 - 54",65,6001,106,6172,2022-03-21
"55 - 59",110,7262,178,7550,2022-03-21
"60 - 64",143,7594,353,8090,2022-03-21
"65 - 69",202,7632,715,8549,2022-03-21
"70 - 74",253,9050,1461,10764,2022-03-21
"75 - 79",270,8773,2460,11503,2022-03-21
"80 - 84",274,7229,2884,10387,2022-03-21
"85 - 89",218,4681,2167,7066,2022-03-21
">90",109,2107,963,3179,2022-03-21
