"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,2010,10,2063,2021-12-27
"20 - 24",4,678,3,685,2021-12-27
"25 - 29",19,1146,3,1168,2021-12-27
"30 - 34",23,1669,13,1705,2021-12-27
"35 - 39",29,1869,11,1909,2021-12-27
"40 - 44",22,2241,17,2280,2021-12-27
"45 - 49",35,3506,30,3571,2021-12-27
"50 - 54",92,5303,87,5482,2021-12-27
"55 - 59",100,6390,157,6647,2021-12-27
"60 - 64",111,6601,303,7015,2021-12-27
"65 - 69",155,6560,631,7346,2021-12-27
"70 - 74",199,7712,1329,9240,2021-12-27
"75 - 79",220,7434,2216,9870,2021-12-27
"80 - 84",202,5970,2604,8776,2021-12-27
"85 - 89",120,3796,1937,5853,2021-12-27
">90",44,1693,832,2569,2021-12-27
