"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",71,3734,13,3818,2022-05-30
"20 - 24",3,1049,3,1055,2022-05-30
"25 - 29",15,1796,3,1814,2022-05-30
"30 - 34",11,2495,15,2521,2022-05-30
"35 - 39",14,2549,16,2579,2022-05-30
"40 - 44",12,2810,22,2844,2022-05-30
"45 - 49",13,4085,41,4139,2022-05-30
"50 - 54",45,6273,113,6431,2022-05-30
"55 - 59",41,7640,198,7879,2022-05-30
"60 - 64",43,8147,381,8571,2022-05-30
"65 - 69",66,8362,760,9188,2022-05-30
"70 - 74",86,10000,1540,11626,2022-05-30
"75 - 79",117,9779,2598,12494,2022-05-30
"80 - 84",89,8238,3007,11334,2022-05-30
"85 - 89",76,5463,2288,7827,2022-05-30
">90",42,2540,1050,3632,2022-05-30
