"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",76,4630,18,4724,2023-01-04
"20 - 24",2,1193,4,1199,2023-01-04
"25 - 29",15,2035,3,2053,2023-01-04
"30 - 34",22,2766,17,2805,2023-01-04
"35 - 39",18,2812,18,2848,2023-01-04
"40 - 44",19,3072,24,3115,2023-01-04
"45 - 49",24,4394,48,4466,2023-01-04
"50 - 54",35,6794,126,6955,2023-01-04
"55 - 59",62,8383,227,8672,2023-01-04
"60 - 64",69,9221,425,9715,2023-01-04
"65 - 69",120,9859,845,10824,2023-01-04
"70 - 74",142,12002,1687,13831,2023-01-04
"75 - 79",199,12390,2847,15436,2023-01-04
"80 - 84",172,10752,3269,14193,2023-01-04
"85 - 89",180,7376,2546,10102,2023-01-04
">90",79,3593,1223,4895,2023-01-04
