"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1467,6,1511,2021-09-10
"20 - 24",5,537,3,545,2021-09-10
"25 - 29",8,883,2,893,2021-09-10
"30 - 34",13,1268,11,1292,2021-09-10
"35 - 39",23,1448,10,1481,2021-09-10
"40 - 44",24,1806,13,1843,2021-09-10
"45 - 49",21,2974,26,3021,2021-09-10
"50 - 54",25,4607,77,4709,2021-09-10
"55 - 59",44,5576,131,5751,2021-09-10
"60 - 64",34,5558,245,5837,2021-09-10
"65 - 69",42,5435,515,5992,2021-09-10
"70 - 74",49,6384,1079,7512,2021-09-10
"75 - 79",61,5989,1771,7821,2021-09-10
"80 - 84",58,4663,2027,6748,2021-09-10
"85 - 89",31,2883,1484,4398,2021-09-10
">90",15,1270,625,1910,2021-09-10
