"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",68,3738,13,3819,2022-06-02
"20 - 24",4,1049,3,1056,2022-06-02
"25 - 29",14,1800,3,1817,2022-06-02
"30 - 34",10,2496,15,2521,2022-06-02
"35 - 39",12,2552,16,2580,2022-06-02
"40 - 44",14,2813,22,2849,2022-06-02
"45 - 49",13,4087,41,4141,2022-06-02
"50 - 54",39,6281,113,6433,2022-06-02
"55 - 59",40,7647,198,7885,2022-06-02
"60 - 64",37,8151,385,8573,2022-06-02
"65 - 69",59,8376,762,9197,2022-06-02
"70 - 74",77,10011,1541,11629,2022-06-02
"75 - 79",111,9790,2601,12502,2022-06-02
"80 - 84",88,8250,3010,11348,2022-06-02
"85 - 89",80,5469,2288,7837,2022-06-02
">90",41,2546,1051,3638,2022-06-02
