"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1361,6,1400,2021-08-05
"20 - 24",5,484,3,492,2021-08-05
"25 - 29",14,791,2,807,2021-08-05
"30 - 34",18,1163,10,1191,2021-08-05
"35 - 39",17,1353,10,1380,2021-08-05
"40 - 44",21,1686,12,1719,2021-08-05
"45 - 49",32,2861,25,2918,2021-08-05
"50 - 54",32,4449,77,4558,2021-08-05
"55 - 59",37,5418,130,5585,2021-08-05
"60 - 64",45,5414,243,5702,2021-08-05
"65 - 69",38,5317,505,5860,2021-08-05
"70 - 74",44,6262,1062,7368,2021-08-05
"75 - 79",52,5865,1730,7647,2021-08-05
"80 - 84",44,4556,1971,6571,2021-08-05
"85 - 89",35,2793,1446,4274,2021-08-05
">90",16,1225,608,1849,2021-08-05
