"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",45,1653,9,1707,2021-11-08
"20 - 24",9,585,3,597,2021-11-08
"25 - 29",21,956,2,979,2021-11-08
"30 - 34",18,1402,11,1431,2021-11-08
"35 - 39",19,1573,10,1602,2021-11-08
"40 - 44",28,1955,14,1997,2021-11-08
"45 - 49",33,3141,28,3202,2021-11-08
"50 - 54",44,4797,77,4918,2021-11-08
"55 - 59",56,5788,138,5982,2021-11-08
"60 - 64",97,5784,256,6137,2021-11-08
"65 - 69",114,5659,531,6304,2021-11-08
"70 - 74",150,6649,1124,7923,2021-11-08
"75 - 79",205,6264,1841,8310,2021-11-08
"80 - 84",202,4934,2125,7261,2021-11-08
"85 - 89",143,3057,1569,4769,2021-11-08
">90",69,1360,673,2102,2021-11-08
